0x000001,57,,000001,1,0.00006065,57
0x000006,1,,000006,6,0.00000106,1
0x000009,2755,,000009,9,0.00293149,2755
0x00000a,3140215,,00000a,10,3.34137941,3140215
0x00000d,174306,,00000d,13,0.18547217,174306
0x00000e,46,,00000e,14,0.00004895,46
0x000012,1,,000012,18,0.00000106,1
0x000014,2,,000014,20,0.00000213,2
0x000019,5,,000019,25,0.00000532,5
0x00001a,35,,00001a,26,0.00003724,35
0x00001c,27,,00001c,28,0.00002873,27
0x00001d,4,,00001d,29,0.00000426,4
0x000020,14627262, ,000020,32,15.5642948,14627262
0x000021,46788,,000021,33,0.04978527,46788
0x000022,63932,,000022,34,0.06802753,63932
0x000023,15959,,000023,35,0.01698134,15959
0x000024,31652,,000024,36,0.03367965,31652
0x000025,23260,,000025,37,0.02475005,23260
0x000026,68776,,000026,38,0.07318184,68776
0x000027,115897,,000027,39,0.12332144,115897
0x000028,301057,(,000028,40,0.32034293,301057
0x000029,302497,/,000029,41,0.32187517,302497
0x00002a,28359,,00002a,42,0.0301757,28359
0x00002b,22337,,00002b,43,0.02376792,22337
0x00002c,513342,",",00002c,44,0.54622705,513342
0x00002d,510054,-,00002d,45,0.54272842,510054
0x00002e,844102,.,00002e,46,0.89817577,844102
0x00002f,178102,,00002f,47,0.18951134,178102
0x000030,822410,0,000030,48,0.87509417,822410
0x000031,648470,1,000031,49,0.69001145,648470
0x000032,548220,2,000032,50,0.58333936,548220
0x000033,334689,E,000033,51,0.35612942,334689
0x000034,235728,,000034,52,0.2508289,235728
0x000035,298087,5,000035,53,0.31718267,298087
0x000036,184145,,000036,54,0.19594146,184145
0x000037,157647,,000037,55,0.16774598,157647
0x000038,174723,,000038,56,0.18591588,174723
0x000039,212009,,000039,57,0.22559045,212009
0x00003a,276395,,00003a,58,0.29410106,276395
0x00003b,25092,,00003b,59,0.02669941,25092
0x00003c,12925,,00003c,60,0.01375298,12925
0x00003d,51502,,00003d,61,0.05480125,51502
0x00003e,46203,,00003e,62,0.0491628,46203
0x00003f,45223,,00003f,63,0.04812002,45223
0x000040,6826,,000040,64,0.00726328,6826
0x000041,624279,@,000041,65,0.66427076,624279
0x000042,353770,B,000042,66,0.37643276,353770
0x000043,498244,C,000043,67,0.53016186,498244
0x000044,381975,D,000044,68,0.40644459,381975
0x000045,455061,E,000045,69,0.48421253,455061
0x000046,295148,F,000046,70,0.31405539,295148
0x000047,231503,,000047,71,0.24633325,231503
0x000048,242699,,000048,72,0.25824647,242699
0x000049,405276,I,000049,73,0.43123827,405276
0x00004a,94578,,00004a,74,0.10063673,94578
0x00004b,121442,,00004b,75,0.12922166,121442
0x00004c,365834,L,00004c,76,0.38926959,365834
0x00004d,426545,M,00004d,77,0.45386978,426545
0x00004e,325299,N,00004e,78,0.34613789,325299
0x00004f,269931,,00004f,79,0.28722297,269931
0x000050,423790,P,000050,80,0.45093829,423790
0x000051,41206,,000051,81,0.04384569,41206
